,MI_average,MI_stdtot,MI_stetot,MMSE_average,MMSE_stdtot,MMSE_stetot,lambda
33,0.2927510314272733,0.0835854755874123,0.007387982074570232,0.3478206345121798,0.10656929944871038,0.009419484288310364,2.120913095981
34,0.3036894269431015,0.08373337372194803,0.007401054546302114,0.33321893075630465,0.10521507493726215,0.009299786621398602,2.24936308204
35,0.3152643399233674,0.08375124238918423,0.0074026339282737995,0.3176640490963906,0.10368993352595719,0.009164981892123333,2.391251686206
36,0.32826971196960936,0.08361073208465745,0.007390214454629116,0.3009720040407969,0.10260029119727322,0.009068670207163291,2.558680600108
37,0.33946448098270326,0.08333457923684427,0.007365805760712531,0.2861882349133516,0.10175244513098566,0.008993730494304008,2.710130784414
38,0.35106582933042974,0.0828778359129554,0.007325434973014593,0.2708565112881953,0.10117154309220465,0.008942385522950614,2.87515321353
39,0.3623000846645078,0.08224581443550243,0.007269571638944275,0.25656359166750003,0.10067200702774673,0.008898232355622435,3.04372591079
40,0.373096217136414,0.08145121117214509,0.007199337969460158,0.24217762175422647,0.10051232310839292,0.008884118157844744,3.214324840996
41,0.3825284328997813,0.08058812817267717,0.007123051489253835,0.2296017724164532,0.10051513833579576,0.008884366991143136,3.371548069554
42,0.3932274255174921,0.07938972358808571,0.0070171264882076265,0.21548320773796095,0.10065099084378382,0.00889637476984808,3.560265560873
43,0.40358571919657804,0.07797714363235071,0.006892270879999075,0.2014753882841328,0.10062932101984702,0.008894459409916476,3.754777415171
44,0.41345798609892215,0.076379309291982,0.006751040942838143,0.18802748078886716,0.10030312979380582,0.008865627906429314,3.953098782585
45,0.42267936615285134,0.07465557579215423,0.006598682987002314,0.17524391388492191,0.1001609500311172,0.00885306087213624,4.151530992596
46,0.43193173914732047,0.07264984318222893,0.006421399595786668,0.16256779273239064,0.09956306759160595,0.008800215031219893,4.365934634768
47,0.4405868937863595,0.07052472725631319,0.006233564110533849,0.15011035821417185,0.09839407187496776,0.008696889431418282,4.582476716441
48,0.44961479183779673,0.06803028594672705,0.006013084564873823,0.13698233453427347,0.09677488279012574,0.008553771983678902,4.828574394793
49,0.4584329360480314,0.06529266551761072,0.00577111081865595,0.12386769135513283,0.094893047408813,0.008387439663778527,5.093547812628
50,0.46707985885469516,0.06228055994515809,0.0055048757841645694,0.1102071941022344,0.09236766129386201,0.008164224957904002,5.3830333403
51,0.47438061888449223,0.05944886309556573,0.005254586778588152,0.09835626425340628,0.08959606347095364,0.007919248005991454,5.657765457535
52,0.48276339452470296,0.05579484704316545,0.00493161433743606,0.08361959699628128,0.08486383658937414,0.007500974291231688,6.01901612608
53,0.48686007400140635,0.05382500722684919,0.004757503450939999,0.07613354786064065,0.08202730210015644,0.007250257694682268,6.219593235212
54,0.49393457081999204,0.050061311608801964,0.004424836614209587,0.06272060923153125,0.07660870169009593,0.006771316557870518,6.617765989377
55,0.4953035809720782,0.04926618241039645,0.0043545564581955925,0.05985862234796875,0.07550762973563645,0.006673994627173941,6.704568630155
56,0.4984344996518592,0.04733950242750837,0.004184260398061024,0.0539645041934922,0.07273456087839598,0.006428887652967446,6.919500407631
57,0.501598720988383,0.04521718528508979,0.003996672292656945,0.0477791100817578,0.0702437096225758,0.0062087254262277606,7.162844542308
58,0.5050663890937267,0.042591651582507384,0.0037646057069907145,0.041485791101601555,0.06760928638241136,0.005975873109023296,7.4710921041
59,0.5087420500923752,0.03936977090017816,0.003479828997159598,0.03528003015321095,0.06463198002342146,0.005712713919509348,7.860351747998
60,0.5124536581534532,0.03555794217695539,0.0031429077547955376,0.02939296843796875,0.061452618967019236,0.005431695449156544,8.341843701979
61,0.515693773996539,0.03158086651462483,0.0027913806085297977,0.024037096287906252,0.05681900796829692,0.005022138229334404,8.870717133467
62,0.5173769765119294,0.02925372920490012,0.0025856887869724777,0.02158856254396875,0.05440946775345439,0.004809162951152298,9.2
63,0.5186818687724218,0.027287898090916293,0.0024119322230517944,0.019948621353390622,0.051972760456750075,0.004593786419494003,9.49037687419
64,0.5197493822830077,0.025614859343900526,0.0022640550926514577,0.018031352413124997,0.04934590541237563,0.0043616030426100955,9.75
65,0.5206829493683046,0.024087808950041735,0.002129081631562565,0.016329278540437506,0.046694742626988,0.004127271144662969,10.0
66,0.522293785668844,0.021301838999477726,0.001882834351034345,0.013968581360375001,0.04291430413535045,0.0037931244330010254,10.5
67,0.5236458992901094,0.01885367271265928,0.0016664449781741435,0.010476365512171874,0.037196075265402,0.0032876996317113705,11.0
68,0.5246841651590624,0.016769507414941338,0.0014822290512828888,0.008481869564703122,0.032124399377522664,0.0028394225801738975,11.5
69,0.525550921741203,0.014994550718554165,0.0013253435617419085,0.006272744268960936,0.02726447683827416,0.0024098620572309023,12.0
70,0.5281201046683983,0.005668532771858431,0.0005010322452949092,0.001468500845601562,0.016320132008334914,0.0014425095016191557,16.0
71,0.5284903915864527,0.004062609811342591,0.0003590873683644183,3.2683593749999996e-07,3.618687271556274e-06,3.198497885888608e-07,20.0
